Day,Signups,Serviceable,Toy Viewed,Plan Page,Checkout Drop,Payment Dropout,Won
2026-09-02,448,265,133 (50.19%),100 (37.74%),49 (18.49%),0 (0.00%),1 (0.38%)
2026-09-01,2315,1328,619 (46.61%),472 (35.54%),246 (18.52%),6 (0.45%),6 (0.45%)
2026-08-31,1974,1073,517 (48.18%),430 (40.07%),205 (19.11%),9 (0.84%),3 (0.28%)
2026-08-30,2431,1337,764 (57.14%),643 (48.09%),293 (21.91%),8 (0.60%),13 (0.97%)
2026-08-29,1912,1017,595 (58.51%),435 (42.77%),223 (21.93%),11 (1.08%),16 (1.57%)
2026-08-28,1620,853,478 (56.04%),387 (45.37%),187 (21.92%),2 (0.23%),5 (0.59%)
2026-08-27,2156,1151,618 (53.69%),510 (44.31%),224 (19.46%),12 (1.04%),18 (1.56%)
2026-08-26,2277,1304,677 (51.92%),536 (41.10%),259 (19.86%),8 (0.61%),22 (1.69%)
2026-08-25,1919,967,627 (64.84%),420 (43.43%),221 (22.85%),7 (0.72%),18 (1.86%)
2026-08-24,1871,883,572 (64.78%),408 (46.21%),218 (24.69%),5 (0.57%),14 (1.59%)
2026-08-23,1511,796,547 (68.72%),416 (52.26%),184 (23.12%),12 (1.51%),21 (2.64%)
2026-08-22,1560,866,605 (69.86%),391 (45.15%),197 (22.75%),10 (1.15%),21 (2.42%)
2026-08-21,1562,894,537 (60.07%),418 (46.76%),219 (24.50%),12 (1.34%),20 (2.24%)
2026-08-20,1523,868,476 (54.84%),386 (44.47%),210 (24.19%),12 (1.38%),21 (2.42%)
2026-08-19,1420,810,546 (67.41%),360 (44.44%),182 (22.47%),10 (1.23%),8 (0.99%)
2026-08-18,785,501,323 (64.47%),237 (47.31%),124 (24.75%),8 (1.60%),17 (3.39%)
2026-08-17,1104,648,409 (63.12%),303 (46.76%),159 (24.54%),5 (0.77%),8 (1.23%)
2026-08-16,1431,848,575 (67.81%),434 (51.18%),221 (26.06%),20 (2.36%),26 (3.07%)
2026-08-15,1337,768,500 (65.10%),387 (50.39%),196 (25.52%),11 (1.43%),21 (2.73%)
2026-08-14,1705,851,569 (66.86%),396 (46.53%),200 (23.50%),10 (1.18%),13 (1.53%)
2026-08-13,1490,754,431 (57.16%),272 (36.07%),189 (25.07%),9 (1.19%),18 (2.39%)
2026-08-12,1797,988,569 (57.59%),254 (25.71%),227 (22.98%),18 (1.82%),18 (1.82%)
2026-08-11,1980,1084,678 (62.55%),303 (27.95%),278 (25.65%),10 (0.92%),21 (1.94%)
2026-08-10,2145,1127,706 (62.64%),311 (27.60%),282 (25.02%),13 (1.15%),14 (1.24%)
2026-08-09,2279,1145,767 (66.99%),304 (26.55%),286 (24.98%),14 (1.22%),20 (1.75%)
2026-08-08,1955,1095,662 (60.46%),301 (27.49%),289 (26.39%),12 (1.10%),16 (1.46%)
2026-08-07,1932,1011,637 (63.01%),274 (27.10%),261 (25.82%),4 (0.40%),19 (1.88%)
2026-08-06,1620,900,529 (58.78%),247 (27.44%),236 (26.22%),6 (0.67%),14 (1.56%)
2026-08-05,1628,969,596 (61.51%),265 (27.35%),260 (26.83%),12 (1.24%),22 (2.27%)
2026-08-04,1852,1078,668 (61.97%),282 (26.16%),267 (24.77%),12 (1.11%),25 (2.32%)
2026-08-03,1910,1104,671 (60.78%),276 (25.00%),259 (23.46%),13 (1.18%),21 (1.90%)
2026-08-02,2076,1254,834 (66.51%),344 (27.43%),335 (26.71%),12 (0.96%),24 (1.91%)
2026-08-01,2095,1269,834 (65.72%),337 (26.56%),324 (25.53%),23 (1.81%),32 (2.52%)
2026-07-31,2123,1317,853 (64.77%),353 (26.80%),330 (25.06%),17 (1.29%),35 (2.66%)
2026-07-30,2685,1547,961 (62.12%),435 (28.12%),425 (27.47%),16 (1.03%),25 (1.62%)
2026-07-29,3054,1767,1037 (58.69%),690 (39.05%),671 (37.97%),27 (1.53%),27 (1.53%)
2026-07-28,3099,1681,949 (56.45%),737 (43.84%),701 (41.70%),11 (0.65%),31 (1.84%)
2026-07-27,2391,1436,782 (54.46%),613 (42.69%),598 (41.64%),14 (0.97%),25 (1.74%)
2026-07-26,4042,3177,810 (25.50%),577 (18.16%),559 (17.60%),15 (0.47%),31 (0.98%)
2026-07-25,1924,1123,667 (59.39%),450 (40.07%),436 (38.82%),9 (0.80%),25 (2.23%)
2026-07-24,1680,945,575 (60.85%),401 (42.43%),387 (40.95%),10 (1.06%),29 (3.07%)
2026-07-23,1610,904,520 (57.52%),371 (41.04%),356 (39.38%),6 (0.66%),14 (1.55%)
2026-07-22,1751,932,551 (59.12%),393 (42.17%),389 (41.74%),8 (0.86%),11 (1.18%)
2026-07-21,1791,939,524 (55.80%),379 (40.36%),369 (39.30%),13 (1.38%),23 (2.45%)
2026-07-20,1652,923,539 (58.40%),415 (44.96%),412 (44.64%),12 (1.30%),23 (2.49%)
